type,start,end,_end,title,description,category,project,keyword
Cinema,1940-04-00,1941-11-00,,Sergei Eisenstein works on a film adaptation about the Bejlis Affair and Lawrence of Arabia.,"Sergei Eisenstein is considering a film adaptation of the Bejlis Affair according to Lev Šejnin; the Jew Beilis was accused of the ritual murder of a Christian boy. At the same time, Sergei Eisenstein is working on a project conceived as a color film about Thomas Edward Lawrence, the Lawrence of Arabia, and a film about the plague - also in color.",Cinema and Theatre,Beiji's Affair,Beiji's Affair;Lawrence of Arabia
Writings,1940-04-05,1941-12-00,,Sergei Eisenstein writes a short article about his meetings with Vladimir Mayakovsky.,Writes a short article about his meetings with Vladimir Mayakovsky.,Writing and Teaching,,Mayakovsky
Cinema,1940-05-00,,,Sergei Eisenstein proposes the Bejlis Affair for filming to the film committee.,Sergei Eisenstein proposes the Bejlis Affair for filming to the film committee.,Cinema and Theatre,Beiji's Affair,Beiji's Affair
Cinema,1940-05-28,1942-08-00,1940-06-03,First scene sketches for Affaire Bejlis.,First scene sketches for Affaire Bejlis.,Cinema and Theatre,Beiji's Affair,Beiji's Affair
Cinema,1940-05-29,1942-04-00,,"The essay Not Coloured, but of Colour appears in Kino.","In Kino the essay Not Coloured, but of Colour appears, in which Sergei Eisenstein examines, among other things, the color gradations of the black and white film on the basis of his previous film production. ",Cinema and Theatre;Writing and Teaching,,Kino;Not colorful but Multi-colored;Essay;Writing
Writings,1940-07-00,,1940-08-00,Sergei Eisenstein works on the theoretical elaboration of the principles of the Vertical Montage.,Sergei Eisenstein works on the theoretical elaboration of the principles of the Vertical Montage.,Writing and Teaching,,Vertical Montage
Biography,1940-10-13,1942-06-00,,Sergei Eisenstein is awarded with the 20 years of Soviet film anniversary medal.,Sergei Eisenstein is awarded with the 20 years of Soviet film anniversary medal.,Biography and Personality,,Award;20 years of Soviet film
Biography,1940-10-16,,,Sergei Eisenstein is appointed artistic director of Mosfilm.,Sergei Eisenstein is appointed artistic director of Mosfilm.,Biography and Personality;Cinema and Theatre,,Mosfilm Studios
Cinema,1940-11-21,1942-08-00,,Premiere of Die Walküre at the Bolshoi Theatre.,Premiere of Die Walküre at the Bolshoi Theatre.,Cinema and Theatre,,Walküre;Bolšoj Theatre
Biography,1940-11-00,1942-09-00,1940-12-00,Sergei Eisenstein protests against the use of his name in the advertising of an American distributor for David Wark Griffiths The Birth of a Nation.,"Sergei Eisenstein protests against the use of his name in the advertising of an American distributor for David Wark Griffiths The Birth of a Nation (1915). Regardless of his importance for the development of film language, he rejects Griffiths film because of racist tendencies.",Biography and Personality;Cinema and Theatre,,Griffith;Birth of a Nation
Cinema,1941-01-26,,1941-02-09,First plans for Ivan the Terrible.,"First plans for the Ivan the Terrible. Sergei Eisenstein writes the scenario in free verse and old church Slavonic, in order to achieve an atmospheric reflection of the overall expression. He begins with the writing and graphic elaboration of Ivans monologue at the sarcophagus of his poisoned wife and other scenes.",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj;Slavonic
Cinema,1941-02-01,,,Festive anniversary performance on the 15th anniversary of the world premiere of Battleship Potemkin. ,Festive anniversary performance on the 15th anniversary of the world premiere of Battleship Potemkin. ,Cinema and Theatre,Battleship Potemkin,Battleship Potemkin
Biography,1941-03-15,1942-11-00,,Sergei Eisenstein is awarded the Great State Award.,"By decree of the Council of Peoples Commissars of the USSR, Sergei Eisenstein is awarded the Great State Award First Degree for the direction of Aleksandr Nevskij. ",Biography and Personality,Aleksandr Nevskij,Council of People's Commissars of the USSR;Award;Great State Award;Aleksandr Nevskij
Cinema,1941-05-00,,,Sergei Eisenstein finishes the first version of screenplay for Ivan the Terrible.,"Sergei Eisenstein finishes the first version of the literary screenplay for Ivan the Terrible, which provides for a two-part film, from the coronation of the young tsar to his march to the Baltic Sea.",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Biography,1941-06-22,,,Sergei Eisenstein draws conclusions from his historical studies of Ivan the Terrible after the German army invaded the USSR.,"After the German army invaded the USSR Sergei Eisenstein draws the following conclusions from his historical studies of Ivan the Terrible: The united and strong Moscow Empire, which came into being in the 16th century, came unexpectedly for the West. ""Where did this Moscow Tsar and this strongest empire in the East suddenly come from?"", the diplomats, humanists, princes and kings of the West asked themselves with concern. We, the people of Moscow in the 20th century, experience the same lack of understanding of the West.",Biography and Personality;Writing and Teaching,Ivan Groznyj,Ivan Groznyj
Cinema,1941-06-00,1943-01-00,1941-07-00,Sergei Eisenstein cites the short stories of Robert Louis Stevenson and Ambrose Bierce.,"During a discussion in Mosfilm about the new film type of war film chronicle, Sergei Eisenstein cites the short stories of Robert Louis Stevenson and Ambrose Bierce as models for their structural composition.",Cinema and Theatre,,Mosfilm Studios;R. L. Stevenson;Ambrose Bierce
Cinema,1941-07-00,,,"The anti-fascist and patriotic films, including Aleksandr Nevskij, reappear in the Soviet cinema schedule.","The anti-fascist and patriotic films, including Aleksandr Nevskij, reappear in the Soviet cinema schedule.",Cinema and Theatre,Aleksandr Nevskij,Aleksandr Nevskij
Biography,1941-07-03,,,Speaks in the radio program To Brother Jews of All the World which is broadcast to the USA.,"Sergei Eisenstein speaks in the radio program To Brother Jews of All the World, which was broadcast to America.",Biography and Personality,,To Brother Jews of All the World;Radio
Writings,1941-08-00,1943-12-00,,Sergei Eisenstein works on the English language version of Griffith and the History of Montage in Art.,Sergei Eisenstein works on the English language version of Griffith and the History of Montage in Art.,Writing and Teaching,,Griffith and the History of Montage in Art;Montage;Essay;Writing
Biography,1941-08-07,1943-12-00,,Sergei Eisenstein is officially thanked for his leadship of the Mosfilm Studio.,"Sergei Eisenstein is officially thanked for his leadership of the Mosfilm Studio; acceptance into the editorial board for war film chronicles. Together with the American correspondent Quentin Reynolds, Sergei Eisenstein works on the compilation of the war film chronicle Moscow strikes back. The work is discontinued due to the evacuation of Reynolds and the destruction of much of the material.",Biography and Personality;Cinema and Theatre,,Mosfilm Studios;Quentin Reynolds;Moscow Strikes Back
Biography,1941-08-00,1943-00-00,1941-09-00,Sergei Eisenstein gives a radio speech for England and the USA.,Sergei Eisenstein gives a radio speech for England and the USA.,Biography and Personality,,Radio
Biography,1941-10-00,,,Sergei Eisenstein reads The Importance of Living by Lin Yu Tang.,Sergei Eisenstein reads over and over again The Importance of Living by Lin Yu Tang.,Biography and Personality,,over and over again;The Importance of Living;Lin Yu Tang
Cinema,1941-10-06,,,Sergei Eisenstein is released from the management of the Mosfilm studio.,Sergei Eisenstein is released from the management of the Mosfilm studio for work on Ivan the Terrible.,Cinema and Theatre,Ivan Groznyj,Mosfilm Studios;Ivan Groznyj
Biography,1941-10-14,,,Sergei Eisenstein departs for the film studios in Alma-Ata.,"Sergei Eisensteins departure for Alma-Ata to the Mosfilm studios there; After his arrival, he initially concentrates on the construction of the studios  and the work being done with the relocation of the VGIK.  The stay in Alma-Ata is not to his taste:  ""Except  for the purely  creative  (not numerous) satisfactions in the actual work on Ivan the Terrible, everything here is disgusting.""",Biography and Personality;Cinema and Theatre,,Alma-Ata;Mosfilm Studios
Writings,1941-11-00,1943-00-00,,Sergei Eisenstein elaborates a detailed libretto entitled Puškin.,Sergei Eisenstein elaborates a detailed libretto entitled Puškin.,Writing and Teaching,,Puškin
Cinema,1941-12-00,,,Sergei Eisenstein finishes working on the screenplay of Ivan the Terrible.,Sergei Eisenstein finishes working on the screenplay of Ivan the Terrible.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Cinema,1941-12-23,1944-00-00,,Sergei Eisenstein announces to Sergej Prokofev the scenario of Ivan the Terrible.,"Sergei Eisenstein announces to Sergej Prokofev the scenario of Ivan the Terrible,  which he will send as soon as possible. He firmly counts on Prokofevs collaboration.",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj;Prokof'ev
Cinema,1942-02-00,1944-06-00,1942-08-00,Sergei Eisenstein starts to revise the dialogues of Ivan the Terrible.,Sergei Eisenstein starts to revise the dialogues of the scenario of Ivan the Terrible and creates a questionnaire for the exact elaboration of the characters.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Writings,1942-04-00,1944-12-00,,Sergei Eisenstein holds a lecture in Alma-Ata.,Sergei Eisenstein holds a lecture in Alma-Ata on a Vladimir Majakovskij evening.,Writing and Teaching,,Alma-Ata;Majakovskij
Cinema,1942-04-16,,,Sergei Eisenstein writes to Nina Čerkassova.,"Sergei Eisenstein writes to Nina Čerkassova, the wife of the actor Nikolaj Čerkassov, to help win her husband for the role of Ivan.",Cinema and Theatre,Ivan Groznyj,Nikolaj Cerkassov;Nina Cerkassov
Cinema,1942-06-00,,,Sergei Eisenstein works with Sergej Prokofev on the film music for Ivan the Terrible.,"After Sergej Prokofevs arrival in Alma-Ata, Sergei Eisenstein works with him on the film music for Ivan the Terrible. The working method is similar to that of Aleksandr Nevskij.",Cinema and Theatre,Aleksandr Nevskij,Prokof'ev;Alma-Ata;Aleksandr Nevskij
Writings,1942-07-24,1944-10-00,,Sergei Eisenstein speaks at a conference about the American and British film.,Sergei Eisenstein is in Moscow and speaks at a conference about American and British film at VOKS.,Writing and Teaching,,Conference on American and British film;VOKS
Writings,1942-08-00,,,A collection of Sergei Eisensteins essays is published in New York.,"In New York the collection of Sergei Eisenstein s essays The Film Sense, edited by Jay Leyda, is published.",Writing and Teaching,,The Film Sense;Jay Leyda;Essay;Writing
Writings,1942-09-00,1944-12-00,,Sergei Eisenstein resumes his teaching activities at the VGIK.,Sergei Eisenstein resumes his teaching activities at the VGIK in Alma-Ata.,Writing and Teaching,,VGIK;Alma-Ata
Cinema,1942-09-05,,,The Committee for Cinematic Art Issues approves the screenplay of Ivan the Terrible.,The Committee for Cinematic Art Issues approves the screenplay of Ivan the Terrible.,Cinema and Theatre,Ivan Groznyj,Committee for Cinematic Art;Ivan Groznyj
Writings,1942-10-17,1958-00-00,,Sergei Eisensteinwrites in the preface of the memoirs about his travels in the western countries.,Sergei Eisensteinwrites in the preface of the memoirs about his travels in the western countries.,Writing and Teaching,,Erinnerungen
Writings,1942-11-00,1945-00-00,,Sergei Eisenstein writes the essay about Sergej Prokofev.,Sergei Eisenstein writes the article PRKFV about Sergej Prokofev.,Writing and Teaching,,PRKFW;Prokof'ev;Essay
Cinema,1942-11-24,1945-04-00,,Sergei Eisenstein repeatedly expresses to Sergej Prokofev the wish to take over the staging of the opera for War and Peace and works on set designs.,"Besides the film music for Ivan the Terrible, Sergej Prokofev works on the opera War and Peace based on the novel by  Lev N. Tolstoj during his time in Alma-Ata. Sergei Eisenstein repeatedly expresses to Prokofev the wish to take over the staging of the opera and works on set designs.",Cinema and Theatre;Graphic Art,Ivan Groznyj,Prokof'ev;Ivan Groznyj;War and Peace;Lev N. Tolstoj;Alma-Ata
Cinema,1942-11-16,1945-05-26,,Journal entry on Ivan the Terrible,"Eisenstein writes in the diary on the dramaturgy of Ivan the Terrible: ""The theme of autocracy is solved in two aspects: One as autocrat + and + One as loner. The first brings the theme of state power (a progressive one in the given historical stage) – the political theme of the film. The second is the personal theme - the psychological theme of the film. Herein lies the compositional unity of the personal and the social, of the psychological, logical and political.""",Cinema and Theatre,Ivan Groznyj;Journal Entry,Ivan Groznyj;Journal Entry
Cinema,1943-01-00,,,Works on the design of different masks for the actor of Ivan.,"Sergei Eisenstein works on the design of the different masks with the make-up artist V. Gurjonov and the performer of the Ivan, Nikolaj Čerkassov. Sergei Eisenstein pays special attention to the mask of Ivan, because the 39-year-old Čerkassov in the course of the film all age groups of the tsars - from 17 to 54 years - must be credible. To reach this goal, for Čerkassovs face alone 16 masks are designed.",Cinema and Theatre,Ivan Groznyj,Costume Design;V. Gurjonov;Nikolaj Cerkassov;Masks;Ivan Groznyj
Biography,1943-01-03,,,Sergei Eisenstein notes in his diary the wish to adapt The Brothers Karamazov by Fëdor M. Dostoevskij into a film.,Sergei Eisenstein notes in his diary the wish to adapt The Brothers Karamazov by Fëdor M. Dostoevskij into a film.,Biography and Personality;Cinema and Theatre,,The brews to film the Karamazov;Dostoevskij
Cinema,1943-04-22,1945-09-00,,Start of the shooting of Ivan the Terrible.,Start of the shooting of Ivan the Terrible.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Cinema,1943-04-22,1945-10-00,1943-12-00,Sergei Eisenstein  is dissatisfied with Eduard Tissés camera work shooting Ivan the Terrible.,"Sergei Eisenstein is dissatisfied with Eduard Tissés camera work for the interior shots of Ivan the Terrible and has a friendly conversation with him; at Sergei Eisensteins suggestion, Tissé leaves the management of the interior shots to Andrej Moskvin, he himself takes over the management of the exterior shots.",Cinema and Theatre,Ivan Groznyj,Eduard Tissé;Ivan Groznyj;Andrej Moskvin
Cinema,1943-04-22,,1943-12-00,"Sergei Eisenstein works with actors from various schools during the shooting of Ivan the Terrible, whom he had to unite into a unified stylistic ensemble. ","Sergei Eisenstein works with actors from various schools during the shooting of Ivan the Terrible, which he had to unite into a unified stylistic ensemble. ",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Cinema,1943-04-22,1945-11-00,1943-00-00,Sergei Eisenstein considers the participation of the ballerina Galina Ulanova in Ivan the Terrible.,"For a time Sergei Eisenstein is considering the participation of the ballerina Galina Ulanova in Ivan the Terrible. He visits her after a performance in Alma-Ata. She agrees to trial runs, but has fights with Sergei Eisenstein concerning the constrictions of the historic outfit. When they agreed and rehearsals should start, it was already 1943 and Ulanova couldnt commit for a long shooting period and cancelled.",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj;Ballerina;Galina Ulanova;Alma-Ata
Cinema,1943-06-05,1945-12-00,,"In a letter to Sergei Eisenstein and Vsevolod Pudovkin, Alexander Korda proposes the film adaptation of Lev Tolstojs novel War and Peace.","In a letter to Sergei Eisenstein and Vsevolod Pudovkin, Alexander Korda proposes the film adaptation of Lev Tolstojs novel War and Peace.",Cinema and Theatre,,Pudovkin;Alexander Korda;Lev Tolstoj;War and Peace
Writings,1943-09-25,1946-00-00,,Sergei Eisenstein is temporarily relieved from teaching duties for the time of the VGIKs return to Moscow.,Sergei Eisenstein is temporarily relieved from teaching duties for the time of the VGIKs return to Moscow.,Writing and Teaching,,VGIK
Writings,1943-10-15,1946-00-00,,"Sergei Eisenstein writes a memoir article abour Vsevolod Meyerhold, Ivette Guilbert and others.","Sergei Eisenstein writes a memoir article abour Vsevolod Meyerhold, Ivette Guilbert and others.",Writing and Teaching,,Meyerhold;Ivette Guilbert 
Writings,1943-00-00,1946-01-00,,Sergei Eisenstein finishes the essay Charlie the Kid.,"Sergei Eisenstein finishes the essay Charlie the Kid, which is published in 1945 in an anthology about Charlie Chaplin edited by Sergei Jutkevič and Sergei Eisenstein. ",Writing and Teaching,,Charlie the Kid;Charlie Chaplin;Jutkevič;Essay;Writing
Cinema,1943-12-26,,,The Committee for Questions of Art accepts the filmed material of Ivan the Terrible.,The Committee for Questions of Art accepts the filmed material of Ivan the Terrible.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Writings,1944-00-00,,,"In the collection American film: D. W. Griffith, the essay Dickens, Griffith and us appears, which Sergei Eisensteins wrote in Alma-Ata.","In the collection Amerikanskaya kinematografiya: D. U. Griffit, the essay Dickens, Griffith and We appears, which Sergei Eisensteins wrote in Alma-Ata.",Writing and Teaching,,American film: D. W. Griffith;Dickens Griffith and Us;Alma-Ata;Essay
Cinema,1944-01-00,,1944-06-00,Further shooting for Ivan the Terrible in Alma-Ata,Further shooting for Ivan the Terrible in Alma-Ata. Sergei Eisenstein is already working on sequences that he has planned for the second part.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Cinema,1944-02-00,1946-05-00,1944-12-00,Sergei Eisenstein works on the dramaturgical and color conception of the Puškin project.,Sergei Eisenstein works on the dramaturgical and color conception of the Puškin project.,Cinema and Theatre,Puškin,Puškin
Cinema,1944-01-26,1946-10-00,,Sergei Eisenstein returns to Moscow and begins assembling the first part of Ivan the Terrible.,"Sergei Eisenstein returns to Moscow and begins assembling the first part of Ivan the Terrible. In this context, Eisenstein further develops his method of the collision montage, which he had already used in The General Line and Aleksandr Nevskij and described theoretically in his concept of the Intellectual Film.",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Biography,1944-09-05,1946-12-00,,Sergei Eisenstein is appointed artistic advisor to the Committees forfilm issues.,Sergei Eisenstein is appointed artistic advisor to the Committees for film issues.,Biography and Personality;Cinema and Theatre,,artistic advisor;Committees for film issues
Writings,1944-10-00,1946-06-00,,Sergei Eisenstein works on the essay The Author and his Theme for the anthology Battleship Potemkin.,Sergei Eisenstein works on the essay The Author and his Theme for the anthology Battleship Potemkin.,Writing and Teaching,Battleship Potemkin,The Author and His Topic;Battleship Potemkin;Essay
Cinema,1944-10-28,1946-06-00,,Screening of the first part of Ivan the Terrible for the Committee forfilm issues.,Screening of the first part of Ivan the Terrible for the Committee forfilm issues.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Cinema,1944-12-00,1946-07-00,,The first part of Ivan the Terrible is approved by the Committee forfilm issues.,The first part of Ivan the Terrible is approved by the Committee forfilm issues.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Cinema,1945-01-16,,,Public premiere of the first part of Ivan the Terrible in Moscow.,Public premiere of the first part of Ivan the Terrible in Moscow. In a parallel event the costumes used in the film are exhibited.,Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Cinema,1945-00-00,1958-00-00,1958-00-00,"In Germany, Ivan the Terrible will initially only be shown in the  screenings of the film clubs and will not be released in public cinemas.","In Germany, Ivan the Terrible will initially only be shown in the screenings of the film clubs and will not be released in public  cinemas until after the successful re-release of the second part. In 1958, the film was still being measured with the ideological yardstick and an absurd separation of content and form was attempted.",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj
Writings,1945-00-00,1965-00-00,,Sergei Eisenstein begins work on the study Nonindifferent Nature.,In spring Sergei Eisenstein begins work on the study Nonindifferent Nature.,Writing and Teaching,,The not indifferent nature
Writings,1945-04-00,,,Sergei Eisenstein writes the essay The Twelve Apostles for the anthology Battleship Potemkin.,Sergei Eisenstein writes the essay The Twelve Apostles for the anthology Battleship Potemkin.,Writing and Teaching,Battleship Potemkin,Battleship Potemkin;12 Apostles;Essay
Cinema,1945-05-25,,1945-05-26,Sergei Eisenstein makes some graphic sketches with annotations for the satirical science fiction film project The World Upside Down.,For the satirical science fiction film project The World Upside Down Sergei Eisenstein makes some graphic sketches with annotations.,Cinema and Theatre;Graphic Art,,Verkehrte Welt;Inverted World
Biography,1945-06-19,,,Sergei Eisenstein is confirmed as a member of the editorial board of Iskusstvo kino.,Sergei Eisenstein is confirmed as a member of the editorial board of Iskusstvo kino.,Biography and Personality,,Iskusstvo kino
Cinema,1945-08-21,,,Soviet and American production companies discuss about the possibility of co-productions and consider to offer to Sergei Eisenstein again the filming of War and Peace in the USA.,"After the end of the war, Soviet and American production companies discuss about the possibility of co-productions. Amongst other things, it is considered to offer to Sergei Eisenstein again the filming of War and Peace in the USA.",Cinema and Theatre,,War and Peace
Cinema,1945-09-00,1946-11-00,,"Via Artkino Pictures in New York, Sergei Eisenstein asks for a copyof Time in the Sun. Together with it he receives a copy of Thunder over Mexico.","Via Artkino Pictures in New York, Sergei Eisenstein asks for a copyof Time in the Sun. Together with it he receives a copy of Thunder over Mexico.",Cinema and Theatre,,Artkino;Time in the sun;Thunder over Mexico
Cinema,1945-10-00,,,Work on the montage of the second part of Ivan the Terrible.,"Work on the montage of the second part of Ivan the Terrible starts. As in the first part, Sergei Eisenstein strives for a  perfect fusion of graphic, pictorial and representational expressive, musical and colorful means of influence.",Cinema and Theatre,Ivan Groznyj,Ivan Groznyj;Montage
Writings,1945-10-01,,,Sergei Eisenstein resumes his lecturing activities at the VGIK.,Sergei Eisenstein resumes his lecturing activities at the VGIK.,Writing and Teaching,,VGIK
Writings,1945-11-00,1947-00-00,,Telegram from Sergei Eisenstein to Jay Leyda,"Telegram from Sergei Eisenstein to Jay Leyda: ""Just finishing the second volume [Film Form]. Does not include Griffith and Ivan. Comprises three normal essays, one enormously extensive appendix.""",Writing and Teaching,,Telegram;Jay Leyda;Ivan;Film Form;Dickens Griffith and Us;Essay
Biography,1945-11-00,1947-01-00,1945-12-00,Acquaintance with the theater critic Brooks Atkinson.,Acquaintance with the theater critic Brooks Atkinson. Sergei Eisenstein mentions the plan to publish a detective magazine.,Biography and Personality;Writing and Teaching,,Brooks Atkinson;detective magazine
Writings,1946-00-00,,,Completion of the revision of the essay Once again on the Structure of Things.,Completion of the revision of the essay Once again on the Structure of Things.,Writing and Teaching,,Once again about the construction of things;Essay
Writings,1946-00-00,1947-03-00,,"Beginning of the work on Pathos, the 2nd part of Nonindifferent Nature.","Beginning of the work on Pathos, the 2nd part of Nonindifferent Nature.",Writing and Teaching,,Pathos;Non-Indifferent Nature;Writing
Cinema,1946-01-00,1947-03-00,,Letter to Jay Leyda,"Letter to Leyda: ""I was (and still am for about 3 weeks) working like hell: I have just finished filming and am starting to assemble Ivan II. This part contains two paint rolls. The means of color is certainly used differently than usual, so that a large additional chapter is added to what is almost finished for the book"".",Cinema and Theatre;Writing and Teaching,,Letter;Jay Leyda
Biography,1946-01-26,1947-03-00,,Sergei Eisenstein receives the Stalin Award for directing Ivan the Terrible.,"By decision of the Council of Peoples Commissars, Sergei Eisenstein receives the Stalin Award for directing Ivan the Terrible.",Biography and Personality;Cinema and Theatre,Ivan Groznyj,Council of People's Commissars;Stalin Award;Ivan Groznyj
Cinema,1946-02-02,,,Sergei Eisenstein finishes the montage of Ivan the Terrible II.,Sergei Eisenstein finishes the montage of Ivan the Terrible II.,Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Montage;Ivan Groznyj II
Biography,1946-02-02,,,Sergei Eisenstein attends a party given for the awarding of the Stalin Prize and has a cardiac infarction.,"Right after finishing the montage of Ivan the Terrible II, Sergei Eisenstein attends a party given for the awarding of the Stalin Prize. While dancing he collapses with a cardiac infarction and is admitted to the Kremlin hospital. ""By an incomprehensibly nonsensical anduseless miracle I stayed alive. According to all the laws of science I should have died [...] Therefore I consider everything that happens now as a postscript to my own life story ..."".",Biography and Personality,,Kremlin Hospital;Montage;Ivan Groznyj II;Stalin Award;Heart Attack;Health Issues
Biography,1946-05-00,,,Transfer to the Barvicha Sanatorium outside Moscow.,Sergei Eisenstein is transferred to the Barvicha Sanatorium outside Moscow.,Biography and Personality,,Barvicha Sanatorium
Writings,1946-05-00,1947-05-00,1946-10-00,Sergei Eisenstein works on plans for a Soviet film history.,Sergei Eisenstein works on plans for a Soviet film history.,Writing and Teaching,,Soviet film history
Biography,1946-05-00,1947-00-00,1946-12-00,Sergei Eisenstein works on his unfinished memoirs.,Until the end of the year Sergei Eisenstein works on his unfinished memoirs.,Biography and Personality;Writing and Teaching,,Unfinished Memoirs
Biography,1946-06-00,,,Sergei Eisenstein is released from the sanatorium; he moves to his Datcha near Moscow.,Sergei Eisenstein is released from the sanatorium; he moves to his Datcha near Moscow.,Biography and Personality,,Barvicha Sanatorium;Health Issues
Writings,1946-06-00,1947-09-00,,Sergei Eisenstein writes the First Letter on Colour.,"Sergei Eisenstein writes the First Letter on Colour; he opposes naturalistic coloring and points out that color must be subject to the same laws as montage, music and composition.",Writing and Teaching,,1st letter on color
Writings,1946-07-00,1947-10-00,,Sergei Eisenstein writes the Second Letter on Colour.,Writes the Second Letter on Colour about his previous experiments and future projects in the field of color film.,Writing and Teaching,,2nd letter on color
Cinema,1946-09-04,1947-11-00,,Publication of the Central Committees criticism on Ivan the Terrible II,"Publication of the Central Committees decision on Ivan the Terrible II: ""Sergei Eisenstein proved his complete ignorance of the historical facts by depicting the progressive army of Opričniki as a degenerate gang of the type of the American Ku Klux Clan, and Ivan himself a personality of strong will and character, as his figure similar to Hamlet, without will and with weak character.""",Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Central Committee;Ivan Groznyj II
Cinema,1958-00-00,,,Ivan the Terrible II is shown publicly for the first time in Brussels.,"It was not until 1958, twelve years after the negative decision of the Central Commitee, that the film was shown publicly for the first time in Brussels, albeit without the color section, and was discussed in detail in all international magazines.",Cinema and Theatre,Ivan Groznyj II,Ivan Groznyj II
Cinema,1960-00-00,1947-11-22,1965-00-00,"In Germany, the film Ivan the Terrible II was launched twice, in 1960 and 1965.","In Germany, the film Ivan the Terrible II was launched twice, in 1960 and 1965. It is only at the 1960 screening that the original version is shown with the colour part of the film.",Cinema and Theatre,Ivan Groznyj II,Ivan Groznyj II
Cinema,1946-09-30,,,Draft of a situation scheme for the Moscow 800 project for the upcoming 800th anniversary celebration of the Russian capital.,Draft of a situation scheme for the Moscow 800 project for the upcoming 800th anniversary celebration of the Russian capital.,Cinema and Theatre,,Moscow 800
Writings,1946-09-30,1948-03-00,,"Sergei Eisenstein drafts the chapter The Colour Genealogy of Moscow 800, which is included in his study Color.","Sergei Eisenstein drafts the chapter The Colour Genealogy of Moscow 800, which is included in his study Color.",Writing and Teaching,,The Color Genealogy of Moscow 800;Color
Writings,1946-10-14,1948-01-21,,Sergei Eisenstein writes the article The True Paths of Discovery.,"Sergei Eisenstein writes the article The True Paths of Discovery, in which he examines the dramaturgical problem, using the example of Aleksandr Nevskij, ""of demonstrating in the fate of the characters and in the play of the actors a thesis, a paragraph, formulated in advance, instead of [...] letting it [...] crystallize out of the basic idea - at the same time as it is intensified in the course of the play - [...] which then becomes the most striking expressive factor of the basic thematic idea: the idea that determines the work.""",Writing and Teaching,,The True Path of Invention;Aleksandr Nevskij
Cinema,1946-10-20,,,Sergei Eisenstein publishes a self-critique on Ivan the Terrible II.,"Sergei Eisenstein publishes a self-critique in which he analyzes the mistakes of the second part of Ivan the Terrible, but indirectly puts his concept up for discussion again.",Cinema and Theatre;Writing and Teaching,Ivan Groznyj,Ivan Groznyj
Biography,1946-11-00,,,Sergei Eisenstein asks Stalin for a discussion about the mistakes of Ivan the Terrible II.,Sergei Eisenstein asks Stalin for a discussion about the mistakes of Ivan the Terrible II.,Biography and Personality;Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Stalin;Ivan Groznyj II
Biography,1946-11-23,,,Sergei Eisenstein receives the medal for excellent work in the great patriotic war of the Soviet people.,Sergei Eisenstein receives the medal for excellent work in the great patriotic war of the Soviet people.,Biography and Personality,,Medal;Award
Biography,1946-12-14,,,Sergei Eisenstein writes the postscripturn to his unfinished autobiography.,Sergei Eisenstein writes the postscripturn to his unfinished autobiography.,Biography and Personality;Writing and Teaching,,unfinished autobiography
Writings,1947-00-00,,,"Sergei Eisenstein sends several manuscripts with an edition plan to Armand Panigel, the French translator of Film Sense, for a four-volume edition of Eisensteins essays.","Early this year, Sergei Eisenstein sends several manuscripts with an edition plan to Armand Panigel, the French translator of Film Sense, for a four-volume edition of Sergei Eisensteins essays.",Writing and Teaching,,Armand Panigel;Film Sense
Writings,1947-01-00,,,Resumption of teaching at the VGIK,Resumption of teaching at the VGIK; Sergei Eisenstein works on alecture series on the psychology of the creative process.,Writing and Teaching,,VGIK
Biography,1947-02-25,,,Sergei Eisenstein and Nikolaj Čerkassov discuss with Joseph Stalin and government representatives about Ivan the Terrible II.,"In the late evening Sergei Eisenstein and Nikolaj Čerkassov discuss with Joseph Stalin and government representatives Ivan the Terrible II. They agree that Sergei Eisenstein, after restoring his health, should reassemble the film and can start with the third part, at the end of which the breakthrough to the Livonian sea stands.",Biography and Personality;Cinema and Theatre,Ivan Groznyj;Ivan Groznyj II,Nikolaj Cerkassov;Ivan Groznyj II
Cinema,1947-03-00,1950-00-00,,Sergei Eisenstein sees for the first time Time in the Sun and Thunder over Mexico. ,"Sergei Eisenstein sees for the first time Time in the Sun and Thunder over Mexico: ""What you have done with the assembly more than heartbreaking.""",Cinema and Theatre,,Time in the sun;Thunder over Mexico
