type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Biography,663,1935-01-09,,1935,"At a ceremony at the Bolšoj Theatre, awarded the title of ""Deserved Artist"".","At a ceremony at the Bolšoj Theatre, Eisenstein, together with Tissé, Kulešov and Zarchi, is awarded the title of ""Deserved Artist"". Before him Pudovkin, Dovženko and Ermler are awarded the ""Lenin Order""; Pletnëv and Svedčikov receive the ""Red Banner Order"", Vertov and Aleksandrov the ""Red Star"". ",Biography and Personality;Cinema and Theatre,,Bolšoj Theatre;Award;Deserved Artist;Grigori Aleksandrov,,20,20
Biography,664,1935-01-11,,1935,"In the closing speech, defends his theoretical work fr which he was earlier contradicted","In the closing speech, Eisenstein defends his theoretical work once again. The four-tier award, ""I interpret as follows: the point is that I have not been involved in any film production for several years; I take this decision as a call from the party and the government to resume film production”.",Biography and Personality;Cinema and Theatre,,Lecture;All-Union Conference of Filmmakers,,20,20
Cinema,665,1935-01-13,,1935,"First production preparations for the ""Bežin meadow""and also creates a series of drawings for the mise-en-scène.   ","First production preparations for the ""Bežin meadow"". With students at the GIK, Eisenstein creates a series of drawings for the mise-en-scènEisenstein   ",Cinema and Theatre,Bežin Meadow,Bežin Meadow. VGIK;mise-en-scène;Drawing,,1,20
Cinema,666,1935-01-00,,1935,Meeting with the Chinese actor Mei Lang-Fang,"Meeting with the Chinese actor Mei Lang-Fang. Eisenstein, who had already directed the recordings for a short documentary film about Mei Lang-Fangs arrival in Moscow, suggested the production of a sound film about his acting. Mei Lang-Fang agreed. On March 29, Eisenstein and Lang-Fang and all the actors of the play ""Rainbow"" meet in the Mosfilm Studio. The shooting goes on until midnight. (...)",Cinema and Theatre,,Mei Lang-Fang;Mosfilm Studios,,1,20
Cinema,667,1935-03-12,,1935,Revises the script of the Bežin Meadow,"Eisenstein revises the script of the ""Bežin Meadow"" written by Aleksandr Ržesevškij, which is based on an actual event and is fleshed out with motifs from Ivan S. Turgenevs ""Record of a Hunter"".",Cinema and Theatre,Bežin Meadow,Bežin Meadow;Aleksandr Ržesevškij;Ivan S. Turgenev;Record of a Hunter,,1,20
Cinema,668,1935-03-00,,1935,"Shooting of the ""Bežin Meadow"" with the prologue in the orchards of Kolomenskoe","Shooting of the ""Bežin Meadow"" with the prologue in the orchards of Kolomenskoe near Moscow. For the first time Eisenstein uses professional actors, according to Boris Zachava and Elizaveta Sergeevna. In addition, Eisenstein follows the principle of typage and the representation by laymen as much as possiblEisenstein From Leydas production diary it becomes clear with what care Eisenstein works on the selection of the actors (...).",Cinema and Theatre,Bežin Meadow,Bežin Meadow;Boris Zachava;Elizaveta Sergeevna;Jay Leyda,,1,20
Cinema,669,1935-05-05,,1935,"Mass scenes for ""Bežin Meadow"" are first recorded without sound equipment","At six oclock in the morning Eisenstein and six members of his team fly to Armavir and Sovchoz ""Stalin"", where the mass scenes are first recorded without sound equipment. Eisenstein explains to Leyda: ""On the editing table, this episode will be treated in the same way as the work of a composer composing a four-part fuguEisenstein The material we are filming here is only one of the voices. The third and fourth voices consist noise and speech.""",Cinema and Theatre,,Bežin Meadow;Jay Leyda,,1,20
Cinema,670,1935-06-15,,1935,"Arrival of the recording team in Charkov, where -now with sound ","Arrival of the recording team in Charkov, where -now with sound - the pure game scenes are recorded. Eisenstein, suffering from food poisoning in Moscow, arrives later and still half sick. At his request, two kilometers of telephone poles and lines are removed, as he sees the composition of the picture disturbed by them.",Cinema and Theatre,,Bežin Meadow;Health Issues,,1,20
Cinema,671,1935-07-00,,1935,Return to Moscow from Bežin Meadow filming,"Return to Moscow. On a cornfield near the Mosfilm studios, the team works on night shots. Leyda: ""Behind the camera there was a picture that was as strange as it was in front of it. The team - and the guests - stood in the background like in a circle: friends, acquaintances, studio staff from all the studios, other directors [...].""",Cinema and Theatre,,Bežin Meadow;Jay Leyda;Mosfilm Studios,,1,20
Apartment,672,1935-08-00,,1935,Furnishes his new four-room apartment,"Eisenstein furnishes his new four-room apartment. He asks Seton for a Victorian wall mirror in which the whole room is reflected, and for a bouquet of Victorian wax flowers for his Datcha, which is under construction.",Apartment,,,,,20
Biography,673,1935-08-00,,1935,Falls ill with smallpox,Eisenstein falls ill with smallpox and has to be in quarantine for three weeks; after that he stays at a health resort in Kislovodsk.,Biography and Personality,,Health Issues,,20,20
Cinema,674,1935-10-00,,1935,"E. resumes work on the ""Bežin meadow"". ","Eisenstein resumes work on the ""Bežin meadow"". ",Cinema and Theatre,Bežin Meadow,Bežin Meadow,,1,20
Cinema,675,1935-12-00,,1935,Falls ill with flu.,"After six weeks of shooting Eisenstein falls ill with flu and has to interrupt work on ""Bežin-meadow"" for three weeks.",Cinema and Theatre,Bežin Meadow,,,1,20
Cinema,676,1936-01-00,,1936,Šumjackij criticizes that the socialist-realist portrayal of the class struggle,"After looking at the material recorded so far, Šumjackij criticizes that the socialist-realist portrayal of the class struggle in the village during the period of collectivization was supplanted by a titanic struggle between good and evil. In ""Bežin-meadow"", spring 1935 Šumjackijs view, the father plays the role of Abraham, who sacrifices his son. Eisenstein thereupon rewrites the screenplay with I. Babel.",Cinema and Theatre,,,1,1,20
Writings,677,1936-00-00,,1936,"Second Version of the ""Granit der Filmwissenschaft"" is published under the title: ""Teaching Program for Theory and Practice of Directing"" in magazine ""Iskusstvo kino"" ","In the magazine ""Iskusstvo kino"" the second Version of the ""Granit der Filmwissenschaft"" is published under the title: ""Teaching Program for Theory and Practice of Directing"", a detailed description of theoretical and practical exercises of the eight semesters of directing studies at the GIK. The student leaves the institute as a ""qualified co-director""; after an internship with at least one whole film and submission of a production report, he receives the title ""Qualified Director"".",Writing and Teaching,,,,,20
Writings,678,1936-04-00,,1936,Michail Romm reportes about the lectures,"The director Michail Romm, who had heard Eisensteins lectures at the GIK, reported about the lectures: ""Even the most impeccable stenographic transcript could not convey the atmosphere of Sergej Michailovičs lectures. For each of his lectures was a great performance, a theatrical act of a special kind.",Writing and Teaching,,,,,20
Cinema,679,1936-04-00,,1936,Takes part in a childrens film conference.,"In the central committee of Komsomol Eisenstein takes part in a childrens film conference.  (C6, P. 60)",Cinema and Theatre;Writing and Teaching,Central Committee of Komsom'ol,,,1,20
Cinema,680,1936-05-22,,1936,Gives Leyda the scripts An American Tragedy and Sutters Gold and a complete copy of the Battleship Potemkin to take along to America.,"Eisenstein gives Leyda the scripts ""An American Tragedy"" and ""Sutters Gold"" and a complete copy of the ""Battleship Potemkin"" to take along to America.",Cinema and Theatre,An American Tragedy;Sutter's Gold;Battleship Potemkin,Jay Leyda;An American Tragedy;Sutter's Gold;Battleship Potemkin,,1,20
Biography,681,1936-07-00,,1936,Meyerhold sends Eisenstein his portrait photo.,"Meyerhold sends Eisenstein his portrait photo. On the collar of his shirt he writes the dedication: ""I am proud of the student who has already become a master. I love the master who has already created a school. To this student, this master - Sergej Eisenstein - my reverence""",Biography and Personality;Cinema and Theatre,,Meyerhold,,20,20
Cinema,682,1936-07-22,,1936,Resumption of the shooting of the Bežin-meadow in Yalta and Odessa according to the new script.,"Resumption of the shooting of the ""Bežin-meadow"" in Yalta and Odessa according to the new script. In Odessa, already ""with the foreboding of imminent inconveniences because of the ""Bežin-meadow"", Eisenstein discovers two paintings of the Italian painter Allessandro Magnasco, ""because it is interesting that his monks - probably more than El Greco - determined the shape and movements of my Ivan IV [Ivan Grozny] [...] stylistically"". (B11, p. 381ff.; C6, p. 60)",Cinema and Theatre,Bežin Meadow,Allessandro Magnasco;El Greco,,1,20
Biography,683,1936-08-22,,1936,Returns to Moscow.,Eisenstein returns to Moscow.,Biography and Personality,,Travels,,20,20
Cinema,684,1936-11-00,,1936,"Shows Lion Feuchtwanger the ""Bežin-meadow"" in rough cut.","Eisenstein shows Lion Feuchtwanger the ""Bežin-meadow"" in rough cut. (running time: five hours). Feuchtwanger: ""He was worried about having to cut a lot out of the campfire scenes, scenes in which he had a special interest. He explained to me how happy he was that these scenes had succeeded in daylight. However, he feared that the film would not be understood.",Cinema and Theatre,Bežin Meadow,Lion Feuchtwanger;,,1,20
Cinema,685,1936-00-00,,1936,"Paul Robeson promises to be available for the filming of ""The Black Consul"".","Paul Robeson promises Eisenstein  during his stay in Moscow to be available to him from July to October next year for the filming of ""The Black Consul"".",Cinema and Theatre,The Black Consul,"Paul Robeson,",,1,20
Cinema,686,1936-12-00,,1936,Falls ill with influenza and stops working on Bežin-meadow,"Eisenstein  falls ill with influenza and has to stop working on ""Bežin-meadow"". ",Cinema and Theatre;Biography and Personality,Bežin Meadow,Health Issues;Filming Interruptions,,1,20
Cinema,687,1937-01-01,,1937,Sends letter to Leyda,"Letter to Leyda: ""I hope to complete the shooting in three to four weeks. Some have already seen the unmounted footage and were very deeply impressed - everyone sees it as a return and reawakening of a qualitatively new film poetry"".",Cinema and Theatre,,Jay Leyda;Letter,1,1,20
Writings,688,1937-02-01,,1937,Apoointed as professor at GIK,Appointment as professor for directing at the GIK.,Writing and Teaching,,GIK,,,20
Biography,689,1937-01-17,,1937,"Denied in the ""Isvestija"" reports in the western press about his alleged arrest.","Denied in the ""Isvestija"" reports in the western press about his alleged arrest.",Biography and Personality,,Isvestija,,20,20
Cinema,690,1937-02-08,,1937,resumption of Bežin meadow shooting.,resumption of Bežin meadow shooting.,Cinema and Theatre,Bežin Meadow,,,1,20
Cinema,691,1937-05-04,,1937,All work on Bežin-meadow is immediatley stopped.,"By order of the GUK, all work on the ""Bežin-meadow"" is immediately and permanently stopped. In the reasoning for the decision, Šumjatckij blames Eisenstein  for the waste of the provided funds - until now the production had cost two million rubles -, subjectivism, addiction to biblical and mythological typification, impoverishment of ideological content and formalistic retreat.",Cinema and Theatre,Bežin Meadow,Šumjatckij,,1,20
Biography,692,1937-05-17,,1937,Vsevolod Višnevsij ,"The playwright Vsevolod Višnevskij, after a screening of the footage from the ""Bežin-meadow"" Eisenstein , wrote an enthusiastic letter in which he said: ""Your role as a factor in art is clear to mEisenstein  I express my gratitude [...] I want to share a number of my thoughts and impressions with you: In the film (I do not want to speak of ""pieces"" or ""material"") I felt, saw and breathed beauty. Somehow, for a very long time there was no such thing in our cinematic art.",Biography and Personality;Cinema and Theatre,Bežin Meadow,Vsevolod Višnevskij,,20,20
Cinema,693,1937-05-17,,1937,Bežin-meadow is condemmed by film artists.,"During a three-day conference, the ""Bežin-meadow"" is officially condemned by film artists.",Cinema and Theatre,Bežin Meadow,Bežin Meadow,,1,20
Cinema,694,1937-05-19,,1937,Publishes a self-critical article on The Mistakes of the Bežin-meadow.,"In April, Eisenstein publishes the self-critical article The Mistakes of the Bežin Meadow. He explains among other things ""My stylistic aspirations and dispositions are characterized by a pronounced inclination to the general and generalized, to generalization. But is this that generalization, that generalization that Marxist realism teaches us? No. That is why in my work the general absorbs the individual. Instead of generalizing about the concrete, the individual, the generalization evaporates into something abstractly detached [...] I have created a film that is not the flesh and blood of our socialist reality, but rather the result of a combination of associations and a theoretical idea of this reality.",Cinema and Theatre,Bežin Meadow,The Mistakes of the Bežin Meadow,,1,20
Cinema,695,1937-04-00,,1937,Closed screening of the first and second Variant of Bežin-meadow.,"Closed screening of the first and second Variant of ""Bežin-meadow"". Višnevskij notes in his diary: ""Eisenstein has somehow become easier: After strong shocks people lead themselves better.",Cinema and Theatre,Bežin Meadow,Bežin Meadow,,1,20
Cinema,696,1937-03-27,,1937,Listens to Višnevskijs first reading of the screenplay,"Eisenstein  listens to Višnevskijs first reading of the screenplay ""We, the Russian People""; the next day he suggests that they work together on a film adaptation.",Cinema and Theatre,,Višnevskij,,1,20
Cinema,697,1937-04-10,,1937,Stays at the spa in Kislovodsk.,"Eisenstein  stays at the spa in Kislovodsk. Eisenstein  K. Sokolovskaja, director of Mosfilm, writes to Eisenstein  on May 18 that she is trying to get him the contract to direct the film ""Rus"" [d. i. Aleksandr Nevskij]. The script is currently being written by Pëtr Pavlenko.",Cinema and Theatre,Rus;Mosfilm Studios,Sokolovskaja;Rus;Aleksandr Nevskij,,1,20
Writings,698,1937-05-18,,1937,Returns to Moscow.,"Eisenstein returns to Moscow. Acquaintance with Pavlenko. Eisenstein  starts working on the study ""The Non-Indifferent Nature"". ",Writing and Teaching,,Pavlenko;The Non-Indifferent Nature,,,20
Cinema,699,1937-06-00,,1937,"Drafts sketches for the film project ""Spain"".","Eisenstein drafts sketches for the film project ""Spain"". End of July: Pavlenko finishes the first version of the script ""Rus"", in which the content is given, but the detailed development of the plot is not yet executed. A few days later Eisenstein  works with him on the second variant",Cinema and Theatre;Writing and Teaching,Spain;Rus,Spain;Pavlenko;Rus,,1,20
Cinema,700,1937-07-13,,1937,"Notes the final decision to stage ""A[Ieksandr]"".","Eisenstein notes the final decision to stage ""A[Ieksandr]"". In accordance with his previous work practice, Eisenstein  initially concentrated again on the study of historical materials. In doing so, he is confronted with the fundamental problem of historical film: to present the ideas, behavior and customs of a long past epoch in such a way that they arouse the interest of the viewer without distorting the story. [...]",Cinema and Theatre,,Aleksandr Nevskij,,1,20
Cinema,701,1937-08-12,,1937,"Starts an essay on the screenplay ""We, the Russian People"", which he plans to make into a film","Eisenstein starts an essay on the screenplay ""We, the Russian People"", which he plans to make into a film",Cinema and Theatre;Writing and Teaching,,We;the Russian People;Writing;Essay,,1,20
Cinema,702,1937-09-00,,1937,Eisenstein correspondence with Višnevskij,"Eisenstein  to Višnevskij: ""I am extremely satisfied with Pavlenko, both as an author and as a person. Soon we will set out on the Novgorod - Pskov - Peipsi Lake - Vladimir routEisenstein  The outlines of the film are very satisfying.",Cinema and Theatre,,Višnevskij,,1,20
Writings,703,1937-09-06,,1937,"Works on the study ""El Greco and the Film"".","Eisenstein  works on the study ""El Greco and the Film"", an appendix to the book ""Montage""; revised in May 1939.",Writing and Teaching,,El Greco and the Film;Montage,,,20
Cinema,704,1937-09-29,,1937,"Works with Pavlenko on the third screenplay version of ""Rus"" ","Eisenstein  works with Pavlenko on the third screenplay version of ""Rus"" until November 8th. For several days they brood over the problem of finding a ""Newtonian apple"" on the plan to squeeze the ""iron wedge of the crusaders like in a pair of pliers. Eisenstein  finds the solution: on the eve of the battle Aleksandr should hear the fairy tale of the fox and the hare.",Cinema and Theatre,Rus,Pavlenk;Rus;Newtonian apple;Aleksandr Nevskij,,1,20
Cinema,705,1937-11-08,,1937,"After another technical revision of Rus, the third variant is sent to the GUK","After another technical revision, the third variant is sent to the GUK. In its reply GUK recommends to emphasize the role of the people, peasants and craftsmen. Furthermore, the scenario should be freed from historical ballast and the peoples victory over the Western conquerors should be more clearly emphasized. The conclusion provided in the script is deleted without replacement!",Cinema and Theatre,Rus,GUK;Rus,,1,20
Cinema,706,1937-11-13,,1937,"The scenario for Rus is put into print by the magazine ""Znamya"" with Pavlenko as author, Eisenstein  as co-author.","The scenario is put into print by the magazine ""Znamya"" (banner) Pavlenko is named as author, Eisenstein  as co-author.  V. Lugovskoj, a member of the editorial staff, agrees to write the lyrics for the film. Eisenstein  asks Sergej Prokofev to compose the film music for ""Aleksandr Nevskij"". Prokofev postpones the decision until after his American tour. ",Cinema and Theatre,Aleksandr Nevskij,Znamya;Pavlenko;V. Lugovskoj;Sergej Prokof'ev;Aleksandr Nevskij,,1,20
Cinema,707,1937-12-00,,1937,"The GUK releases the scenario ""Rus","The GUK releases the scenario ""Rus"" for the development of the directors screenplay.",Cinema and Theatre,Rus,Rus;GUK,,1,20
Cinema,708,1937-12-31,,1937,Šumjackij is deposed as head of the Film Headquarters and banished to the province,Šumjackij is deposed as head of the Film Headquarters and banished to the province,Cinema and Theatre,Rus,Šumjackij,,1,20
Cinema,709,1938-01-09,,1938,"Finishes working on the directing script for ""Rus"".","With director Dimitrij Vasilev and Tissé, Eisenstein  finishes working on the directing script for ""Rus"".",Cinema and Theatre,Rus,Dimitrij Vasil'ev;Eduard Tissé;Rus,1,1,20
Cinema,710,1938-01-00,,1938,Scenario of Rus is discussed at a conference with historians and researchers and Eisenstein  is encouraged to rework the directors screenplay.,"In Moscow the scenario Rus is discussed at a conference with historians and researchers. Eisenstein  speaks about the historical theme of the film and the necessity to deviate from historical facts in favor of an artistic generalization. Through the conference, Eisenstein  is encouraged to rework the directors screenplay.",Cinema and Theatre,Rus,,,1,20
Cinema,711,1938-02-09,,1938,"Invites Konstantin Eliseev to work on ""Rus"".","At the beginning of the year, Eisenstein invites Konstantin Eliseev to work on ""Rus""",Cinema and Theatre,Rus,Konstantin Eliseev;Rus,,1,20
Cinema,712,1938-00-00,,1938,Visits Novgorod.,"In search of locations, Eisenstein  visits Novgorod. In a letter to Višnevskij he writes: ""Almost nothing has been preserved; impossible to film here. There are still remains of the original architecture, but they have sunk so far into the earth that their proportions have been destroyed. At Lake Ilmen, Eisenstein  makes notes ""On the effects that can be achieved with the gigantic ice surfaces and snowfields",Cinema and Theatre,,Višnevskij,,1,20
Cinema,713,1938-02-18,,1938,"Eisenstein , Tissé and Vasilev create several variants of the directors screenplay.","Eisenstein , Tissé and Vasilev create several variants of the directors screenplay.",Cinema and Theatre,,Eduard Tissé,,1,20
Cinema,714,1938-03-00,,1938,"On one variant, the title ""Rus"" is pasted over with ""Aleksandr Nevskij"".","On one variant, the title ""Rus"" is pasted over with ""Aleksandr Nevskij"".",Cinema and Theatre,Rus,Rus;Aleksandr Nevskij,,1,20
Cinema,715,1938-03-26,,1938,"At Vasilevs suggestion, a trial run of the script is made with artificial ice","At Vasilevs suggestion, a trial run of the script is made with artificial ice",Cinema and Theatre,,Vasil'ev,,1,20
Writings,716,1938-04-26,,1938,"Eisenstein works on the theoretical article ""Montage 38""","Eisenstein  works on the theoretical article ""Montage 38"": ""There was a period in our cinematic art in which montage was everything. Now a period is coming to an end in which montage nothing applies. We do not adhere to either of these two extremes. After the campaign ""for the montage"" and the storm ""against the montage"", it is time to approach the problems of montage anew and without prejudicEisenstein  The essay appears in 1939 and is revised in 1941 for the second publication.",Writing and Teaching,,Montage 38;for the montage;against the montage;Montage,,,20
Cinema,717,1938-03-00,,1938,Collects historical material and seeks shooting locations for outdoor shots.,"In Pereslavi-Zalesskij, Eisenstein  collects historical material and seeks shooting locations for outdoor shots.",Cinema and Theatre,,Pereslavi'-Zalesskij,,1,20
Cinema,718,1938-04-29,,1938,Prokofev rejects Eisenstein s planned reconstruction of 13th-century chants,"Beginning of the collaboration with Prokofev, who rejects Eisenstein s planned reconstruction of 13th-century chants, since this music ""has become so emotionally foreign to us that it is no longer able to feed the imagination of the audiencEisenstein  When recording music, Prokofev experimented with new recording methods that exploited the shortcomings of technology to produce dramatic effects. Eisenstein and Prokofev discussed the character of the music [...] of the episode of the Battle of the Ice Lake, to which Eisenstein wanted Prokofevs music before the recordings began.",Cinema and Theatre,,Prokof'ev,,1,20
Cinema,719,1938-05-00,,1938,"Start of shooting of ""Aleksandr Nevskij""","Start of shooting of ""Aleksandr Nevskij"" in the studios of Mosfilm and in Pereslavl-Zalesskij. The team set the deadline of November 7. Eisenstein : ""It seemed to us completely impossible to achieve in such a short time an organic fusion of music and image and a strict internal correspondence between the visual and musical images, which is basically the whole secret of the sound film"".",Cinema and Theatre,Aleksandr Nevskij,Aleksandr Nevskij;Pereslavl'-Zalesskij;Mosfilm Studios,,1,20
Cinema,720,1938-06-05,,1938,Shooting for the Battle of the Ice.,"Shooting for the Battle of the Ice on a field covered with chalk, sawdust and naphthalene near the Mosfilm studios. ""We did not try to make the audience believe that thedetails of the Russian winter were real. Rather, we limited ourselves to the reproduction of the sound and color proportions of winter: white background under a dark cloudy sky [...] But we did more than that: we never lost sight of the character of the film, we did not play the winter, but the battle [...]. ",Cinema and Theatre,Battle of the Ice,Battle of the Ice;Mosfilm Studios,,1,20
Cinema,721,1938-07-00,,1938,"works on the editing of the ""Aleksandr Nevskij"".","Eisenstein  works on the editing of the ""Aleksandr Nevskij"". For the first time Eisenstein  deals extensively with the montage of optical and acoustic pictograms in practice. He develops a principle which he later calls ""vertical montage"", a further development of the polyphonic structure according to which the bit procession was mounted in ""The General Line"". [...] In the montage, he attempts to bring the horizontal lines of the optical and acoustic drawing section, which in their individual parts interact vertically and determine each other in their expressive quality, to a qualitatively new, organic unity.",Cinema and Theatre,Aleksandr Nevskij;General Line;October,Aleksandr Nevskij;General Line;October;Montage;Drawing,,1,20
Cinema,722,1938-10-00,,1938,"Via telegram announces ""with pleasure"" the early completion of the film for the 21st anniversary of the October Revolution.","In a telegram, Eisenstein  announces ""with pleasure"" the early completion of the film for the 21st anniversary of the October Revolution. The group receives the ""Red Wanderfahne"" for this.",Cinema and Theatre,,Telegram;October Revolution;Red Wanderfahne,,1,20
Cinema,723,1938-11-04,,1938,"""Alexander Nevskij"" is screened in the Mosfilm studio.","The finished film ""Alexander Nevskij"" is screened in the Mosfilm studio.",Cinema and Theatre,Aleksandr Nevskij,Aleksandr Nevskij;Mosfilm Studios,,1,20
Cinema,724,1938-11-09,,1938,"""Aleksandr Nevskij"" is released for public screening","After a screening in the main film administration, ""Aleksandr Nevskij"" is released for public screening",Cinema and Theatre,Aleksandr Nevskij,Aleksandr Nevskij,,1,20
Cinema,725,1938-11-09,,1938,Asks for three to four more working days for the montage of a boxing match scene on the Novgorod bridge.,Eisenstein asks for three to four more working days for the montage of a boxing match scene on the Novgorod bridge. This already shot sequence does not appear in the published version.,Cinema and Theatre,,montage;Novgorod bridge ,,1,20
Biography,726,1938-11-14,,1938,"World premiere of ""Aleksandr Nevskij"" at the House of Film.","World premiere of ""Aleksandr Nevskij"" at the House of Film. [...] With this film, Eisenstein  restores his long-doubted reputation as a responsible Soviet film artist. Because of the patriotic theme and Eisenstein s largely renunciation of cinematographic experiments, ""Aleksandr Nevskij"" is very popular with the Russian film public. [...] In the FRG ""Aleksandr Nevskij"" remained almost unknown. The first review appears in 1952.",Biography and Personality;Cinema and Theatre,Aleksandr Nevskij,Aleksandr Nevskij;House of Film,,20,20
Writings,727,1938-11-23,,1938,"Works on the essay ""About the construction of things"".","Eisenstein works on the essay ""About the construction of things"".",Writing and Teaching,,About the construction of things;Essay;Writing,,,20
Biography,728,1939-01-00,,1939,"Awarded the medal of Lenin for the direction of ""Aleksandr Nevskij"".","By decree of the Presidium of the Supreme Soviet of the USSR, Eisenstein  is awarded the medal of Lenin for the direction of ""Aleksandr Nevskij"".",Biography and Personality;Cinema and Theatre,Aleksandr Nevskij,Presidium of the Supreme Soviet of the USSR;Medal of Lenin;Aleksandr Nevskij,1,20,20
Biography,729,1939-02-01,,1939,"Awarded the title of ""Doctor of Art Sciences"".","Eisenstein is awarded the title of ""Doctor of Art Sciences"".",Biography and Personality,,Doctor of Art Sciences,,20,20
Cinema,730,1939-03-23,,1939,"Works on a screenplay after Maupassants novella ""Mademoiselle Fifi"" under the title ""The Daughter of France""","Eisenstein  works on a screenplay after Maupassants novella ""Mademoiselle Fifi"" under the title ""The Daughter of France""",Cinema and Theatre,,Mademoiselle Fifi;The Daughter of France,,1,20
Cinema,731,1939-05-00,,1939,"Receives recordings of ""Que viva Mexico"". ","Through Seton Eisenstein  receives a list of all received recordings of ""Que viva Mexico"". He is mainly concerned with the sequences of the Day of the Dead; however, the negotiations are broken off without result.",Cinema and Theatre,Que viva Mexico!,Que viva Mexico!;Day of the Dead,,1,20
Cinema,732,1939-05-00,,1939,Pavlenko tells Eisenstein about the plan of the collective farmers to build an irrigation canal in Fergana,"P. Pavlenko tells Eisenstein about the plan of the collective farmers to build an irrigation canal in Fergana in one month. The plan for the film ""The Great Fergana Canal"" is created.",Cinema and Theatre,,P. Pavlenko;The Great Fergana Canal,,1,20
Biography,733,1939-05-00,,1939,Elected delegate of the All-Union Congress of Filmmakers.,Eisenstein is elected delegate of the All-Union Congress of Filmmakers.,Biography and Personality;Cinema and Theatre,,All-Union Congress of Filmmakers,,20,20
Cinema,734,1939-06-08,,1939,"Visits the routes of the future canal and visit Kokand, Samarkand, Tashkent and Bukhara","With Tissé, Pavlenko and the administrative director Zajonc E.  is in Uzbekistan. They visit the routes of the future canal and visit Kokand, Samarkand, Tashkent and Bukhara",Cinema and Theatre,,Eduard Tissé;P. Pavlenko;Zajonc E.,,1,20
Cinema,735,1939-06-18,,1939,Asks Prokofev to compose music for Fergana-Canal.,"Eisenstein  asks Prokofev to compose the film music for ""Fergana-Canal""; he sends him an extended libretto, ""which is already accepted in its fundamentals"" [...]",Cinema and Theatre,,Prokof'ev;Fergana-Canal,,1,20
Cinema,736,1939-07-26,,1939,"""Aleksandr Nevskij"" removed from schedules of the cinemas","After the signing of the German-Soviet non-aggression pact, ""Aleksandr Nevskij"" no longer appears in the schedules of the cinemas.",Cinema and Theatre,Aleksandr Nevskij,Aleksandr Nevskij,,1,20
Cinema,737,1939-08-00,,1939,"With Pavlenko writes the screenplay for ""The Great Fergana Canal"". ","Together with Pavlenko, Eisenstein  in Kratovo writes the screenplay for ""The Great Fergana Canal"". Eisenstein  delivers the scenario.",Cinema and Theatre,,The Great Fergana Canal,,1,20
Cinema,738,1939-08-01,,1939,"World premiere of the version of ""Que viva Mexico"".","World premiere of the version of ""Que viva Mexico"" mounted by Seton and Paul Burnford under the title ""Time in the sun"".",Cinema and Theatre,Que viva Mexico!,Que viva Mexico!;Seton Burnford;Paul Burnford;Time in the sun,,1,20
Writings,739,1939-10-00,,1939,"Writes and introduction to the unrealized book project ""Puškin and the Film"". ","In Kokand Eisenstein  writes an introduction to the unrealized book project ""Puškin and the Film"". ",Writing and Teaching,,Puškin and the Film,,,20
Biography,740,1939-10-13,,1939,Returns to Moscow.,"Eisenstein returns to Moscow at the end of October. Eisenstein  is recommended to drop part of the ""Fergana"" film planned as a triptych. He then cancels all work on the Fergana Canal.",Biography and Personality;Cinema and Theatre,,Fergana;Fergana Canal,,20,20
Cinema,741,1939-10-00,,1939,"Offered by the artistic director of the Bolšoj Theatre the staging of the ""Walküre"" by Richard Wagner.","Eisenstein  is offered by the artistic director of the Bolšoj Theatre the staging of the ""Walküre"" by Richard Wagner. He accepts and begins ten days later with the preparatory work. ",Cinema and Theatre,,Bolšoj Theatre;Walküre;Richard Wagner,,1,20
Writings,742,1939-12-00,,1939,"Writes a short article about Dovženko with the title""The birth of a master""","Eisenstein  writes a short article about Dovženko with the title""The birth of a master""",Writing and Teaching,,Dovženko;The birth of a master,,,20
Cinema,743,1940-01-00,,1940,Drafts  sketches  for  a  theater  production  of Feuchtwangers Pseudo-Nero.,Eisenstein drafts sketches for a theater production of Feuchtwangers Pseudo-Nero.,Cinema and Theatre,,Pseudo-Nero,1,1,20
Biography,744,1940-02-00,,1940,Speaks on the introduction of a series of programs broadcast to Germany by Moscow Radio.,"Eisenstein speaks on the introduction of a series of programs broadcast to Germany by Moscow Radio.  In the speech, which was delivered in German, he noted, among other things, that the German-Soviet non-aggression pact formed a solid basis for the growing cultural cooperation between the two great peoples.",Biography and Personality,,Moscow Radio,,20,20
Cinema,745,1940-02-18,,1940,"Writes the essay ""The embodiment of a myth"" about the staging of the ""Walküre"".","Writes the essay ""The embodiment of a myth"" about the staging of the ""Walküre"".",Cinema and Theatre;Writing and Teaching,,The Embodiment of a Myth;Walküre;Essay;Writing,,1,20
Cinema,746,1940-03-00,,1940,In preperation for a film on Boris Godunov sketches a rough montage list of the famous Godunov monologue.,"First preparatory work for the color film about Puškins ""Boris Godunov""; Eisenstein  sketches a rough montage list of the famous Godunov monologue",Cinema and Theatre,,Puškin;Boris Godunov;Godunov monologue,,1,20
Cinema,747,1940-03-04,,1940,"Designs ""a first Outline"" for a biographical Puškin film","Eisenstein designs ""a first Outline"" for a biographical Puškin film",Cinema and Theatre,,A first Outline;Puškin,,1,20
